DATE,RFC_No_Memory
1985-02-01,0.04
1985-03-01,0.06
1985-04-01,0.06
1985-05-01,0.07
1985-06-01,0.0
1985-07-01,0.0
1985-08-01,0.0
1985-09-01,0.0
1985-10-01,0.0
1985-11-01,0.0
1985-12-01,0.0
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,0.02
1986-05-01,0.0
1986-06-01,0.0
1986-07-01,0.02
1986-08-01,0.0
1986-09-01,0.0
1986-10-01,0.0
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.01
1987-02-01,0.01
1987-03-01,0.0
1987-04-01,0.01
1987-05-01,0.01
1987-06-01,0.01
1987-07-01,0.01
1987-08-01,0.01
1987-09-01,0.01
1987-10-01,0.03
1987-11-01,0.03
1987-12-01,0.12
1988-01-01,0.15
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,0.0
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.34
1989-01-01,0.37
1989-02-01,0.21
1989-03-01,0.3
1989-04-01,0.26
1989-05-01,0.25
1989-06-01,0.92
1989-07-01,0.47
1989-08-01,0.73
1989-09-01,0.75
1989-10-01,0.85
1989-11-01,0.88
1989-12-01,0.55
1990-01-01,0.48
1990-02-01,0.93
1990-03-01,0.94
1990-04-01,0.92
1990-05-01,0.9
1990-06-01,0.97
1990-07-01,0.68
1990-08-01,0.66
1990-09-01,0.63
1990-10-01,0.84
1990-11-01,0.83
1990-12-01,0.86
1991-01-01,0.72
1991-02-01,0.9
1991-03-01,0.9
1991-04-01,0.81
1991-05-01,0.84
1991-06-01,0.34
1991-07-01,0.34
1991-08-01,0.36
1991-09-01,0.38
1991-10-01,0.09
1991-11-01,0.16
1991-12-01,0.24
1992-01-01,0.16
1992-02-01,0.04
1992-03-01,0.08
1992-04-01,0.15
1992-05-01,0.15
1992-06-01,0.01
1992-07-01,0.01
1992-08-01,0.01
1992-09-01,0.06
1992-10-01,0.05
1992-11-01,0.05
1992-12-01,0.06
1993-01-01,0.06
1993-02-01,0.01
1993-03-01,0.03
1993-04-01,0.02
1993-05-01,0.03
1993-06-01,0.04
1993-07-01,0.0
1993-08-01,0.04
1993-09-01,0.04
1993-10-01,0.02
1993-11-01,0.02
1993-12-01,0.06
1994-01-01,0.01
1994-02-01,0.01
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.01
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.02
1994-09-01,0.0
1994-10-01,0.03
1994-11-01,0.08
1994-12-01,0.18
1995-01-01,0.16
1995-02-01,0.03
1995-03-01,0.03
1995-04-01,0.02
1995-05-01,0.27
1995-06-01,0.28
1995-07-01,0.01
1995-08-01,0.1
1995-09-01,0.1
1995-10-01,0.04
1995-11-01,0.13
1995-12-01,0.15
1996-01-01,0.13
1996-02-01,0.06
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.01
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.04
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.03
1997-08-01,0.06
1997-09-01,0.09
1997-10-01,0.04
1997-11-01,0.29
1997-12-01,0.5
1998-01-01,0.3
1998-02-01,0.11
1998-03-01,0.34
1998-04-01,0.38
1998-05-01,0.39
1998-06-01,0.36
1998-07-01,0.39
1998-08-01,0.27
1998-09-01,0.22
1998-10-01,0.03
1998-11-01,0.02
1998-12-01,0.23
1999-01-01,0.04
1999-02-01,0.03
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.57
2000-03-01,0.64
2000-04-01,0.64
2000-05-01,0.65
2000-06-01,0.93
2000-07-01,0.93
2000-08-01,0.85
2000-09-01,0.85
2000-10-01,0.92
2000-11-01,0.87
2000-12-01,0.78
2001-01-01,0.56
2001-02-01,0.83
2001-03-01,0.76
2001-04-01,0.74
2001-05-01,0.82
2001-06-01,0.71
2001-07-01,0.7
2001-08-01,0.63
2001-09-01,0.61
2001-10-01,0.83
2001-11-01,0.79
2001-12-01,0.84
2002-01-01,0.79
2002-02-01,0.4
2002-03-01,0.5
2002-04-01,0.47
2002-05-01,0.57
2002-06-01,0.45
2002-07-01,0.47
2002-08-01,0.45
2002-09-01,0.43
2002-10-01,0.04
2002-11-01,0.21
2002-12-01,0.0
2003-01-01,0.19
2003-02-01,0.36
2003-03-01,0.52
2003-04-01,0.39
2003-05-01,0.01
2003-06-01,0.01
2003-07-01,0.02
2003-08-01,0.01
2003-09-01,0.29
2003-10-01,0.32
2003-11-01,0.39
2003-12-01,0.39
2004-01-01,0.39
2004-02-01,0.1
2004-03-01,0.1
2004-04-01,0.14
2004-05-01,0.16
2004-06-01,0.01
2004-07-01,0.02
2004-08-01,0.02
2004-09-01,0.05
2004-10-01,0.01
2004-11-01,0.04
2004-12-01,0.06
2005-01-01,0.11
2005-02-01,0.09
2005-03-01,0.1
2005-04-01,0.1
2005-05-01,0.1
2005-06-01,0.06
2005-07-01,0.08
2005-08-01,0.22
2005-09-01,0.12
2005-10-01,0.16
2005-11-01,0.2
2005-12-01,0.26
2006-01-01,0.34
2006-02-01,0.64
2006-03-01,0.1
2006-04-01,0.04
2006-05-01,0.03
2006-06-01,0.07
2006-07-01,0.23
